Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
64,4,"(10, 10)_4_7_pcd",0.0,1.3668705049185597e-07,0.0016,9.8304e-05,1.3668705049185597e-07,0.0016985773741009836,41.00611514755679
65,5,"(10, 10)_9_7_osm",0.0,3.542452467451094e-07,0.0016,9.8304e-05,3.542452467451094e-07,0.0016990124904934904,106.27357402353283
65,5,"(10, 10)_9_7_pcd",0.0,3.542452467451094e-07,0.0016,9.8304e-05,3.542452467451094e-07,0.0016990124904934904,106.27357402353283
66,0,"(10, 10)_5_7_osm",0.0,8.939392015134723e-08,0.0016,9.8304e-05,8.939392015134723e-08,0.0016984827878403026,26.81817604540417
66,0,"(10, 10)_5_7_pcd",0.0,8.939392015134723e-08,0.0016,9.8304e-05,8.939392015134723e-08,0.0016984827878403026,26.81817604540417
67,2,"(10, 10)_7_9_osm",0.0,2.046725926737081e-07,0.0016,9.8304e-05,2.046725926737081e-07,0.0016987133451853477,61.40177780211243
67,2,"(10, 10)_7_9_pcd",0.0,2.046725926737081e-07,0.0016,9.8304e-05,2.046725926737081e-07,0.0016987133451853477,61.40177780211243
68,3,"(10, 10)_4_2_osm",0.0,7.316023458494469e-07,0.0016,9.8304e-05,7.316023458494469e-07,0.0016997672046916992,219.48070375483408
68,3,"(10, 10)_4_2_pcd",0.0,7.316023458494469e-07,0.0016,9.8304e-05,7.316023458494469e-07,0.0016997672046916992,219.48070375483408
69,4,"(10, 10)_4_8_osm",0.0,1.7546836001218634e-07,0.0016,9.8304e-05,1.7546836001218634e-07,0.0016986549367200246,52.6405080036559
69,4,"(10, 10)_4_8_pcd",0.0,1.7546836001218634e-07,0.0016,9.8304e-05,1.7546836001218634e-07,0.0016986549367200246,52.6405080036559
70,5,"(10, 10)_9_7_osm",0.0,3.343596962553214e-07,0.0016,9.8304e-05,3.343596962553214e-07,0.0016989727193925106,100.30790887659641
70,5,"(10, 10)_9_7_pcd",0.0,3.343596962553214e-07,0.0016,9.8304e-05,3.343596962553214e-07,0.0016989727193925106,100.30790887659641
