Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices,row_number
10,9,1375.4110583296103,442.9074498139087,36.90650046157933,-1.185627683743362,2.215815563802608,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",65
11,0,1437.8795093331382,409.4902095630276,36.90706136496923,-1.1859302427935658,13.19980745510524,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",66
11,1,1354.3062336044509,551.0102496814407,36.90631161923529,-1.1846501609797606,12.315579076808216,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",67
11,10,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",68
11,11,1339.1755736782902,334.1387401574803,36.90617423262573,-1.186610834879551,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",69
11,2,1431.6954436942624,517.6606400985211,36.90700655048786,-1.1849522101773953,9.40437346660548,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",70
11,3,1356.3132331691272,76.96144012505836,36.90632642307393,-1.1889361421342417,15.644041203847154,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",71
11,4,1401.187042573196,407.1915024804663,36.9067317547747,-1.1859507749145473,14.860126998322084,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",72
11,5,1488.8534632925143,403.7712623162428,36.9075192060178,-1.185982297495887,10.247220911606364,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",73
11,6,1314.170009705815,481.432027236816,36.90595061843872,-1.1852789567722393,9.462494569033076,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",74
11,7,1447.808350795426,501.61244051779886,36.90715117766729,-1.1850974152448135,6.499752115504815,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",75
11,8,1514.186180959989,393.6448289644735,36.90774669158257,-1.1860740258310325,6.623537095799112,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",76
11,9,1372.812029521881,446.19514950491646,36.90647713783118,-1.1855979412343929,4.431396319181658,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",77
12,0,1424.221264152377,401.6333264066704,36.90693862471577,-1.186001185024797,15.202180248958523,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",78
12,10,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",79
12,11,1339.6775823888484,335.4822686904758,36.90617875111672,-1.1865986912144797,1.4338497789110989,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",80
12,2,1437.6254189864972,515.2894943065382,36.90705980110581,-1.1849736886971975,6.386679503179783,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",81
12,3,1358.0834013701328,94.74088146177478,36.906342444975024,-1.1887754068900551,17.878402874432503,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",82
12,4,1392.79397698181,419.2598337610814,36.906656445053336,-1.1858416053544416,14.1683913899716,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",83
12,5,1478.200152071738,408.02822962205,36.9074235402272,-1.1859437365577576,11.472461531412938,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",84
12,6,1312.1550480888648,476.5879913392029,36.905932485902966,-1.1853227388526202,5.246503832813974,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",85
12,7,1448.7718280395577,503.9964425537148,36.90715984840357,-1.1850758675910325,2.572074475064879,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",86
12,8,1506.314831554911,396.79141432565945,36.90767600755706,-1.1860455230980842,8.477213667170146,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",87
12,9,1366.56529678649,448.5581373262021,36.906421041867496,-1.1855765342817202,6.679138055769727,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",88
13,0,1406.1737687063833,403.843998256192,36.90677652590136,-1.1859810744673276,17.319855008128567,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",89
13,10,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",90
13,11,1341.0897063866885,339.26154351843064,36.90619146139264,-1.18656453172537,4.033343723951839,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",91
13,13,1510.7419943199748,316.0822720100978,36.90771522670406,-1.1867752610643434,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",92
13,2,1442.648750544496,512.4490541564811,36.90710490450349,-1.1849994040060468,5.864045452049374,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",93
